19.82(C) 51.82 (F), 2001, Aug, United States, USA
19.85(C) 51.85 (F), 2000, Jul, United States, USA
19.97(C) 51.97 (F), 2014, Jul, United States, USA
20.05(C) 52.05 (F), 2009, Jul, United States, USA
20.08(C) 52.08 (F), 2011, Aug, United States, USA
20.08(C) 52.08 (F), 2003, Aug, United States, USA
20.16(C) 52.16 (F), 2010, Aug, United States, USA
20.17(C) 52.17 (F), 2008, Jul, United States, USA
20.18(C) 52.18 (F), 2016, Aug, United States, USA
20.26(C) 52.26 (F), 2001, Jul, United States, USA
20.31(C) 52.31 (F), 2004, Jul, United States, USA
20.44(C) 52.44 (F), 2010, Jul, United States, USA
20.51(C) 52.51 (F), 2007, Aug, United States, USA
20.54(C) 52.54 (F), 2015, Jul, United States, USA
20.69(C) 52.69 (F), 2013, Jul, United States, USA
20.87(C) 52.87 (F), 2003, Jul, United States, USA
20.91(C) 52.91 (F), 2007, Jul, United States, USA
20.92(C) 52.92 (F), 2005, Jul, United States, USA
20.96(C) 52.96 (F), 2002, Jul, United States, USA
21.06(C) 53.06 (F), 2011, Jul, United States, USA
21.20(C) 53.20 (F), 2016, Jul, United States, USA
21.32(C) 53.32 (F), 2006, Jul, United States, USA
26.55(C) 58.55 (F), 2012, Jan, United States, USA
31.53(C) 63.53 (F), 2002, Mar, United States, USA
